Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     218.17
8                     218.72
16                    216.22
32                    217.75
64                    225.31
128                   228.11
256                   230.09
512                   230.12
1024                  230.50
2048                  235.40
4096                  245.28
8192                  588.25
16384                 611.14
32768                 671.90
65536                 758.88
131072               1578.55
262144               2595.89
524288               3242.22
1048576              4327.54
