Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     285.35
8                     281.98
16                    280.39
32                    285.23
64                    286.76
128                   291.24
256                   289.80
512                   291.82
1024                  292.07
2048                  298.86
4096                  310.41
8192                  543.69
16384                 568.21
32768                 635.21
65536                 741.62
131072               1480.20
262144               2570.40
524288               3025.27
1048576              3981.17
