Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     267.03
8                     267.63
16                    267.21
32                    266.83
64                    269.94
128                   271.43
256                   271.01
512                   277.31
1024                  278.24
2048                  282.94
4096                  291.50
8192                  520.35
16384                 542.95
32768                 613.62
65536                 721.70
131072               1513.82
262144               2520.86
524288               3147.85
1048576              3983.94
