Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                     172.47
2                     196.10
4                     173.88
8                     174.07
16                    174.89
32                    174.41
64                    174.10
128                   175.67
256                   176.16
512                   175.33
1024                  175.19
2048                  177.15
4096                  187.46
8192                  198.54
16384                 217.84
32768                 244.94
65536                 689.62
131072                736.17
262144                991.06
524288               1129.87
1048576              2060.64
