Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                      37.77
2                      36.92
4                      37.14
8                      37.17
16                     37.74
32                     37.18
64                     37.70
128                    38.75
256                    39.15
512                    39.82
1024                   40.64
2048                   41.04
4096                   44.48
8192                   49.61
16384                  69.87
32768                  94.15
65536                 212.88
131072                282.16
262144                429.98
524288               1023.48
1048576              1212.92
