Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                     174.37
2                     174.36
4                     173.80
8                     173.35
16                    174.81
32                    171.83
64                    174.78
128                   177.29
256                   175.97
512                   178.20
1024                  178.37
2048                  181.11
4096                  187.52
8192                  199.77
16384                 217.77
32768                 249.91
65536                 663.93
131072                777.65
262144                936.62
524288               1324.16
1048576              2136.93
