Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                     176.69
2                     176.45
4                     176.39
8                     175.85
16                    176.19
32                    176.33
64                    176.07
128                   177.51
256                   178.47
512                   178.36
1024                  179.72
2048                  181.66
4096                  186.47
8192                  195.70
16384                 218.64
32768                 240.07
65536                 631.93
131072                701.19
262144                848.54
524288               1082.43
1048576              1718.45
