Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                      40.02
2                      40.10
4                      40.50
8                      40.44
16                     40.15
32                     40.60
64                     40.77
128                    44.61
256                    45.55
512                    46.76
1024                   45.12
2048                   44.47
4096                   47.54
8192                   54.85
16384                  90.93
32768                 109.14
65536                 243.46
131072                328.94
262144                550.75
524288                799.70
1048576              1365.62
