Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                     150.73
2                     152.32
4                     155.47
8                     156.96
16                    156.12
32                    158.06
64                    157.40
128                   159.19
256                   159.51
512                   161.90
1024                  160.82
2048                  166.39
4096                  167.74
8192                  177.70
16384                 210.16
32768                 252.13
65536                 698.40
131072                819.54
262144               1117.23
524288               2503.11
1048576              2666.30
