Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                      64.74
2                      64.85
4                      65.55
8                      66.71
16                     67.68
32                     60.28
64                     61.47
128                    68.05
256                    63.14
512                    64.07
1024                   64.31
2048                   68.00
4096                   71.52
8192                   85.14
16384                 108.71
32768                 137.13
65536                 338.78
131072                464.62
262144                735.50
524288               1496.58
1048576              2002.52
