Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                     257.41
2                     260.00
4                     259.31
8                     263.11
16                    265.75
32                    267.18
64                    266.14
128                   261.50
256                   257.58
512                   260.16
1024                  259.16
2048                  261.70
4096                  266.29
8192                  272.29
16384                 303.66
32768                 333.98
65536                 836.32
131072               1014.03
262144               1278.44
524288               2216.87
1048576              2682.44
