Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                     245.94
2                     252.19
4                     253.63
8                     251.70
16                    252.31
32                    250.93
64                    241.61
128                   243.91
256                   242.85
512                   243.26
1024                  243.82
2048                  244.44
4096                  250.60
8192                  260.51
16384                 290.27
32768                 318.22
65536                 794.42
131072                933.18
262144               1164.79
524288               2014.08
1048576              2482.28
