Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                      64.96
2                      61.45
4                      60.65
8                      61.32
16                     61.77
32                     59.27
64                     60.13
128                    60.92
256                    61.91
512                    63.44
1024                   63.77
2048                   65.26
4096                   69.54
8192                   77.89
16384                 111.99
32768                 154.56
65536                 347.17
131072                490.19
262144                763.70
524288               1559.42
1048576              2556.39
