Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                     254.89
2                     253.44
4                     252.58
8                     252.32
16                    251.43
32                    254.35
64                    252.75
128                   254.48
256                   256.35
512                   255.99
1024                  257.03
2048                  259.18
4096                  272.09
8192                  327.81
16384                 302.30
32768                 338.55
65536                 748.90
131072                864.71
262144               1510.02
524288               3377.07
1048576              3066.57
