Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                     291.67
2                     292.82
4                     284.94
8                     280.93
16                    281.62
32                    281.13
64                    278.92
128                   276.25
256                   277.74
512                   272.62
1024                  274.30
2048                  277.46
4096                  283.62
8192                  294.64
16384                 326.01
32768                 356.05
65536                 775.27
131072                883.39
262144               1191.12
524288               3361.10
1048576              3043.93
