Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                     255.79
2                     256.69
4                     260.78
8                     260.53
16                    261.55
32                    261.61
64                    260.66
128                   262.53
256                   263.64
512                   264.80
1024                  265.12
2048                  267.94
4096                  275.62
8192                  282.34
16384                 302.63
32768                 335.44
65536                 754.54
131072                879.26
262144               1180.19
524288               3246.23
1048576              3114.26
