Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                     261.22
2                     267.98
4                     268.07
8                     268.22
16                    270.42
32                    269.38
64                    270.82
128                   272.82
256                   274.59
512                   273.87
1024                  274.25
2048                  274.71
4096                  277.33
8192                  287.95
16384                 314.57
32768                 354.87
65536                 749.85
131072                899.49
262144               1386.96
524288               4645.59
1048576              3270.89
