Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.17
2                       0.34
4                       0.68
8                       1.38
16                      2.80
32                      5.71
64                     10.78
128                    26.72
256                    50.66
512                    92.15
1024                  163.54
2048                  297.50
4096                  462.13
8192                  676.73
16384                 750.16
32768                 661.79
65536                 652.82
131072                660.99
262144                154.02
524288                154.03
1048576               154.06
2097152               154.07
4194304               154.07
