Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.22
2                       0.43
4                       0.67
8                       1.62
16                      3.65
32                      7.14
64                     13.88
128                    24.78
256                    45.75
512                    88.83
1024                  166.65
2048                  262.71
4096                  479.07
8192                  683.13
16384                 692.48
32768                 672.19
65536                 652.08
131072                646.12
262144                154.01
524288                154.03
1048576               154.06
2097152               154.07
4194304               154.07
