Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.07
2                       0.16
4                       0.70
8                       1.75
16                      3.49
32                      6.99
64                     14.15
128                    26.47
256                    48.07
512                    86.67
1024                  157.71
2048                  262.40
4096                  448.99
8192                  609.77
16384                 712.35
32768                 748.76
65536                 652.84
131072                661.53
262144                154.34
524288                154.05
1048576               154.06
2097152               154.07
4194304               154.07
