Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.17
2                       0.34
4                       0.67
8                       1.36
16                      2.74
32                      5.66
64                     11.24
128                    21.99
256                    41.09
512                    73.58
1024                  134.50
2048                  209.30
4096                  264.59
8192                  302.56
16384                 321.57
32768                 331.78
65536                 332.04
131072                337.47
262144                215.47
524288                154.05
1048576               154.04
2097152               154.07
4194304               154.06
