Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.22
2                       0.44
4                       0.87
8                       1.38
16                      2.88
32                      5.84
64                     11.01
128                    23.70
256                    44.44
512                    80.68
1024                  152.57
2048                  246.87
4096                  461.30
8192                  599.77
16384                 749.75
32768                 704.76
65536                 651.60
131072                660.12
262144                154.02
524288                154.04
1048576               154.06
2097152               154.07
4194304               154.07
