Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.10
2                       0.25
4                       0.54
8                       1.23
16                      2.87
32                      5.90
64                     11.82
128                    22.51
256                    40.48
512                    79.98
1024                  151.42
2048                  256.33
4096                  420.10
8192                  632.50
16384                 802.86
32768                 684.42
65536                 649.99
131072                659.75
262144                154.02
524288                154.05
1048576               154.04
2097152               154.04
4194304               154.07
