Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      64.93
1                      62.21
2                      69.59
4                      69.00
8                      69.22
16                     69.50
32                     69.36
64                     68.99
128                    63.60
256                    72.34
512                    71.84
1024                   75.42
2048                   83.47
4096                   93.30
8192                  117.18
16384                 158.63
32768                 177.75
65536                 392.09
131072                463.37
262144                603.99
524288                872.57
1048576              3408.54
2097152              6832.66
4194304             13664.34
