Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      65.58
1                      67.92
2                      67.04
4                      66.93
8                      68.97
16                     69.60
32                     67.90
64                     71.61
128                    70.54
256                    71.51
512                    72.38
1024                   76.52
2048                   86.38
4096                   97.69
8192                  127.76
16384                 159.53
32768                 200.49
65536                 398.93
131072                463.40
262144                610.86
524288                868.83
1048576              3408.66
2097152              6833.89
4194304             13671.21
