Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      77.13
1                      59.99
2                      68.39
4                      65.19
8                      77.37
16                     72.67
32                     74.25
64                     67.76
128                    62.29
256                    61.59
512                    63.36
1024                   77.63
2048                   85.50
4096                   90.79
8192                  115.55
16384                 149.28
32768                 198.09
65536                 400.10
131072                487.76
262144                737.71
524288               1287.43
1048576              2855.72
2097152              6838.68
4194304             13679.06
