Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      67.46
1                      68.04
2                      68.69
4                      69.86
8                      70.05
16                     68.81
32                     69.32
64                     79.45
128                    82.84
256                    85.60
512                    88.07
1024                   91.36
2048                   97.66
4096                  112.51
8192                  141.83
16384                 165.79
32768                 210.08
65536                 452.03
131072                594.16
262144                887.65
524288               1409.09
1048576              2629.26
2097152              6840.84
4194304             13686.22
