Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      70.62
1                      70.80
2                      71.29
4                      70.98
8                      70.74
16                     72.00
32                     72.58
64                     70.96
128                    72.31
256                    73.99
512                    78.69
1024                   79.91
2048                   89.83
4096                  102.63
8192                  132.33
16384                 153.96
32768                 201.08
65536                 429.05
131072                572.75
262144                838.19
524288               1349.02
1048576              2694.18
2097152              6835.43
4194304             13669.72
