Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      67.19
1                      69.24
2                      68.37
4                      69.76
8                      68.66
16                     69.29
32                     68.75
64                     68.55
128                    69.08
256                    71.06
512                    72.77
1024                   76.47
2048                   84.65
4096                   96.06
8192                  126.33
16384                 149.07
32768                 199.50
65536                 433.42
131072                553.22
262144                822.50
524288               1344.25
1048576              2711.60
2097152              6835.28
4194304             13669.55
