Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      80.28
1                      88.92
2                      95.96
4                      93.89
8                      93.32
16                     91.35
32                     84.54
64                     94.09
128                    92.07
256                    96.74
512                    98.18
1024                   84.34
2048                   93.01
4096                  121.97
8192                  142.19
16384                 168.52
32768                 208.79
65536                 458.71
131072                567.28
262144                855.29
524288               1364.32
1048576              2662.16
2097152              6835.17
4194304             13670.25
