Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Bandwidth Test v5.6.3
# Size      Bandwidth (MB/s)
1                       0.10
2                       0.23
4                       0.45
8                       0.86
16                      1.88
32                      3.71
64                      7.57
128                    14.39
256                    25.03
512                    55.94
1024                   99.12
2048                  198.80
4096                  348.97
8192                  488.27
16384                 826.33
32768                1167.47
65536                1468.87
131072               1948.44
262144               2856.92
524288               2900.24
1048576              3722.66
2097152              3832.48
4194304              3773.89
