Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Bandwidth Test v5.6.3
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.22
4                       0.45
8                       0.92
16                      1.82
32                      3.58
64                      5.60
128                    14.05
256                    28.17
512                    54.21
1024                  112.58
2048                  195.00
4096                  376.59
8192                  723.00
16384                1355.43
32768                2008.56
65536                1467.79
131072               1582.81
262144               2555.18
524288               3142.32
1048576              3530.39
2097152              3609.92
4194304              3863.72
