Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Bandwidth Test v5.6.3
# Size      Bandwidth (MB/s)
1                       0.11
2                       0.23
4                       0.43
8                       0.90
16                      1.30
32                      2.83
64                      7.00
128                    14.06
256                    22.66
512                    51.62
1024                   97.24
2048                  175.64
4096                  295.86
8192                  711.71
16384                1075.86
32768                1892.37
65536                1482.22
131072               2033.93
262144               2838.17
524288               3300.12
1048576              3662.50
2097152              3886.33
4194304              3939.03
