Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Bandwidth Test v5.6.3
# Size      Bandwidth (MB/s)
1                       0.08
2                       0.24
4                       0.48
8                       0.95
16                      1.75
32                      3.81
64                      7.62
128                    14.73
256                    24.21
512                    59.27
1024                   98.12
2048                  197.66
4096                  377.66
8192                  658.01
16384                 739.49
32768                1245.02
65536                1253.26
131072               2048.69
262144               2869.37
524288               3291.99
1048576              3523.84
2097152              3545.23
4194304              3663.29
