Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Bandwidth Test v5.6.3
# Size      Bandwidth (MB/s)
1                       0.12
2                       0.23
4                       0.47
8                       0.94
16                      1.78
32                      3.18
64                      7.18
128                    14.36
256                    24.92
512                    58.04
1024                   98.43
2048                  188.48
4096                  378.91
8192                  728.71
16384                1257.31
32768                1985.92
65536                1453.71
131072               2050.90
262144               2500.82
524288               3357.68
1048576              3710.01
2097152              3692.66
4194304              3857.22
