Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Latency Test v5.6.3
# Size          Latency (us)
0                      14.50
1                      14.83
2                      12.89
4                      12.49
8                      13.13
16                     12.83
32                     14.22
64                     23.35
128                    14.32
256                    13.49
512                    13.21
1024                   14.56
2048                   13.70
4096                   14.63
8192                   15.31
16384                  31.02
32768                  51.15
65536                  81.87
131072                127.28
262144                130.95
524288                209.09
1048576               325.23
2097152               598.89
4194304              1248.20
