Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Latency Test v5.6.3
# Size          Latency (us)
0                      12.19
1                      13.51
2                      12.87
4                      15.36
8                      14.56
16                     12.19
32                     12.57
64                     13.21
128                    12.62
256                    12.66
512                    12.48
1024                   13.58
2048                   16.05
4096                   17.83
8192                   16.82
16384                  35.58
32768                  39.29
65536                  75.74
131072                 96.39
262144                125.35
524288                196.02
1048576               334.00
2097152               575.31
4194304              1277.89
