Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Latency Test v5.6.3
# Size          Latency (us)
0                      12.07
1                      12.43
2                      12.11
4                      12.44
8                      12.48
16                     13.03
32                     12.96
64                     12.56
128                    12.26
256                    12.46
512                    12.62
1024                   13.99
2048                   13.81
4096                   14.38
8192                   15.23
16384                  25.55
32768                  31.37
65536                  74.91
131072                118.36
262144                125.35
524288                219.29
1048576               328.04
2097152               592.36
4194304              1260.29
