Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Latency Test v5.6.3
# Size          Latency (us)
0                      12.25
1                      12.00
2                      11.96
4                      12.30
8                      11.82
16                     13.51
32                     15.02
64                     14.65
128                    14.10
256                    15.51
512                    13.74
1024                   14.82
2048                   13.22
4096                   18.85
8192                   15.27
16384                  24.19
32768                  37.09
65536                  76.11
131072                 92.99
262144                126.92
524288                199.79
1048576               319.04
2097152               593.75
4194304              1246.41
