Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.28
2                       0.57
4                       1.15
8                       2.45
16                      5.06
32                      9.81
64                     19.77
128                    38.50
256                    71.97
512                   137.81
1024                  257.99
2048                  419.08
4096                  633.77
8192                  766.13
16384                 849.95
32768                 995.42
65536                 989.26
131072                986.14
262144                986.97
524288                971.23
1048576               987.30
2097152               983.31
4194304               986.21
