Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.30
2                       0.60
4                       1.19
8                       2.45
16                      4.90
32                      9.65
64                     18.96
128                    35.99
256                    71.60
512                   133.24
1024                  244.86
2048                  414.90
4096                  611.62
8192                  771.94
16384                 850.67
32768                1006.63
65536                 985.94
131072                986.60
262144                984.30
524288                976.15
1048576               984.11
2097152               986.75
4194304               981.63
