Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.21
2                       0.43
4                       0.84
8                       1.75
16                      3.43
32                      6.92
64                     13.19
128                    24.66
256                    46.76
512                    94.82
1024                  161.16
2048                  235.85
4096                  289.01
8192                  314.00
16384                 328.91
32768                 334.81
65536                 335.74
131072                340.33
262144                 95.51
524288                 92.44
1048576                92.45
2097152                92.46
4194304                92.46
