Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.31
2                       0.59
4                       1.19
8                       2.37
16                      4.80
32                      9.56
64                     19.05
128                    35.90
256                    69.47
512                   133.52
1024                  238.65
2048                  420.01
4096                  464.26
8192                  731.10
16384                 848.06
32768                 992.11
65536                 989.98
131072                986.46
262144                951.54
524288                985.65
1048576               986.82
2097152               987.20
4194304               985.24
