Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.29
2                       0.57
4                       1.17
8                       2.35
16                      4.67
32                      9.58
64                     17.89
128                    34.32
256                    66.10
512                   127.57
1024                  231.15
2048                  400.15
4096                  583.81
8192                  738.12
16384                 826.58
32768                1001.47
65536                 985.54
131072                986.57
262144                982.06
524288                987.23
1048576               987.24
2097152               982.29
4194304               984.13
