Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      31.97
1                      32.41
2                      32.62
4                      32.16
8                      32.66
16                     33.21
32                     32.89
64                     32.65
128                    33.67
256                    33.81
512                    34.33
1024                   34.74
2048                   36.51
4096                   40.92
8192                   46.84
16384                  61.69
32768                  83.76
65536                 185.47
131072                228.68
262144                322.89
524288                652.73
1048576              1184.23
2097152              2218.21
4194304              4165.63
