Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      37.68
1                      39.55
2                      39.78
4                      39.49
8                      39.44
16                     38.39
32                     36.60
64                     36.51
128                    38.74
256                    39.40
512                    38.70
1024                   39.22
2048                   40.64
4096                   43.09
8192                   50.67
16384                  67.57
32768                  92.23
65536                 204.53
131072                266.09
262144                407.70
524288                598.14
1048576              1047.97
2097152              2177.76
4194304              4145.14
