Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      35.24
1                      36.17
2                      35.31
4                      35.50
8                      34.43
16                     33.95
32                     33.33
64                     37.27
128                    37.15
256                    37.76
512                    37.84
1024                   38.25
2048                   39.78
4096                   45.03
8192                   50.83
16384                  66.39
32768                  91.69
65536                 202.62
131072                264.94
262144                384.17
524288                553.09
1048576               978.99
2097152              1879.79
4194304              3770.43
