Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      32.53
1                      32.79
2                      32.86
4                      32.59
8                      33.34
16                     36.05
32                     36.53
64                     36.07
128                    37.41
256                    37.73
512                    38.12
1024                   39.17
2048                   40.84
4096                   44.82
8192                   50.65
16384                  65.65
32768                  93.28
65536                 204.28
131072                263.32
262144                405.89
524288                596.51
1048576              1011.97
2097152              1912.59
4194304              3836.14
