Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      34.89
1                      36.24
2                      36.35
4                      36.23
8                      36.24
16                     36.12
32                     35.97
64                     36.10
128                    37.88
256                    38.20
512                    38.52
1024                   39.72
2048                   40.59
4096                   45.01
8192                   51.40
16384                  67.11
32768                  92.05
65536                 210.86
131072                261.00
262144                408.34
524288                605.03
1048576              1014.71
2097152              1897.50
4194304              3762.75
